,Date,Price
916,2015-07-05,264.7
917,2015-07-06,272.44
918,2015-07-07,269.16
919,2015-07-08,270.09
920,2015-07-09,271.21
921,2015-07-10,281.69
922,2015-07-11,292.13
923,2015-07-12,305.0
924,2015-07-13,294.45
925,2015-07-14,291.83
926,2015-07-15,291.85
927,2015-07-16,283.33
928,2015-07-17,278.23
929,2015-07-18,278.17
930,2015-07-19,275.84
931,2015-07-20,277.78
932,2015-07-21,280.32
933,2015-07-22,277.7
934,2015-07-23,278.73
935,2015-07-24,282.91
936,2015-07-25,289.3
937,2015-07-26,291.46
938,2015-07-27,291.95
939,2015-07-28,295.65
940,2015-07-29,292.61
941,2015-07-30,289.7
942,2015-07-31,286.98
943,2015-08-01,283.29
944,2015-08-02,281.86
945,2015-08-03,284.13
946,2015-08-04,285.44
947,2015-08-05,285.07
948,2015-08-06,282.03
949,2015-08-07,280.86
950,2015-08-08,276.18
951,2015-08-09,264.37
952,2015-08-10,266.12
953,2015-08-11,267.42
954,2015-08-12,269.62
955,2015-08-13,266.61
956,2015-08-14,266.22
957,2015-08-15,267.45
958,2015-08-16,260.78
959,2015-08-17,259.28
960,2015-08-18,256.94
961,2015-08-19,234.34
962,2015-08-20,233.26
963,2015-08-21,235.52
964,2015-08-22,231.89
965,2015-08-23,230.52
966,2015-08-24,222.4
967,2015-08-25,214.71
968,2015-08-26,225.97
969,2015-08-27,227.09
970,2015-08-28,228.33
971,2015-08-29,231.91
972,2015-08-30,230.35
973,2015-08-31,229.97
974,2015-09-01,230.43
975,2015-09-02,228.99
976,2015-09-03,230.77
977,2015-09-04,231.38
978,2015-09-05,233.56
979,2015-09-06,240.44
980,2015-09-07,241.37
981,2015-09-08,244.13
982,2015-09-09,242.79
983,2015-09-10,240.5
984,2015-09-11,241.92
985,2015-09-12,240.93
986,2015-09-13,234.8
987,2015-09-14,230.4
988,2015-09-15,232.22
989,2015-09-16,230.86
990,2015-09-17,233.35
991,2015-09-18,234.74
992,2015-09-19,233.86
993,2015-09-20,233.12
994,2015-09-21,229.44
995,2015-09-22,230.51
996,2015-09-23,232.27
997,2015-09-24,233.98
998,2015-09-25,236.68
999,2015-09-26,236.3
1000,2015-09-27,235.25
1001,2015-09-28,238.43
1002,2015-09-29,239.83
1003,2015-09-30,238.73
1004,2015-10-01,238.88
1005,2015-10-02,239.34
1006,2015-10-03,240.15
1007,2015-10-04,241.04
1008,2015-10-05,240.38
1009,2015-10-06,245.11
1010,2015-10-07,246.92
1011,2015-10-08,245.93
1012,2015-10-09,246.12
1013,2015-10-10,246.96
1014,2015-10-11,248.91
